The simulation ran with the following values

Seed:                            100

at time 364 process 11 is entering CPU

at time 364 process 29 is arriving at CPU queue

at time 367 process 11 is leaving CPU

at time 367 process 11 is leaving simulation

at time 367 process 28 is entering CPU

at time 372 process 30 is arriving at CPU queue

at time 373 process 16 is leaving DISK1

at time 373 process 17 is entering DISK1

at time 374 process 28 is leaving CPU

at time 374 process 29 is entering CPU

at time 375 process 1 is leaving DISK2

at time 375 process 19 is entering DISK2

at time 381 process 31 is arriving at CPU queue

at time 384 process 29 is leaving CPU

at time 384 process 30 is entering CPU

at time 396 process 30 is leaving CPU

at time 396 process 16 is entering CPU

at time 398 process 16 is leaving CPU

at time 398 process 1 is entering CPU

at time 401 process 32 is arriving at CPU queue

at time 406 process 1 is leaving CPU

at time 406 process 31 is entering CPU

at time 411 process 33 is arriving at CPU queue

at time 412 process 19 is leaving DISK2

at time 412 process 2 is entering DISK2

at time 413 process 17 is leaving DISK1

at time 413 process 12 is entering DISK1

at time 416 process 31 is leaving CPU

at time 416 process 32 is entering CPU

at time 418 process 34 is arriving at CPU queue

at time 425 process 35 is arriving at CPU queue

at time 426 process 32 is leaving CPU

at time 426 process 33 is entering CPU

at time 430 process 33 is leaving CPU

at time 430 process 19 is entering CPU

at time 434 process 19 is leaving CPU

at time 434 process 17 is entering CPU

at time 437 process 17 is leaving CPU

at time 437 process 34 is entering CPU

at time 439 process 36 is arriving at CPU queue

at time 439 process 2 is leaving DISK2

at time 439 process 21 is entering DISK2

at time 443 process 34 is leaving CPU

at time 443 process 34 is leaving simulation

at time 443 process 35 is entering CPU

at time 447 process 35 is leaving CPU

at time 447 process 35 is leaving simulation

at time 447 process 36 is entering CPU

at time 447 process 37 is arriving at CPU queue

at time 449 process 36 is leaving CPU

at time 449 process 2 is entering CPU

at time 451 process 12 is leaving DISK1

at time 451 process 20 is entering DISK1

at time 458 process 38 is arriving at CPU queue

at time 459 process 2 is leaving CPU

at time 459 process 37 is entering CPU

at time 468 process 37 is leaving CPU

at time 468 process 12 is entering CPU

at time 470 process 21 is leaving DISK2

at time 470 process 6 is entering DISK2

at time 474 process 39 is arriving at CPU queue

at time 477 process 12 is leaving CPU

at time 477 process 38 is entering CPU

at time 482 process 40 is arriving at CPU queue

at time 484 process 20 is leaving DISK1

at time 484 process 13 is entering DISK1

at time 489 process 38 is leaving CPU

at time 489 process 21 is entering CPU

at time 493 process 6 is leaving DISK2

at time 493 process 24 is entering DISK2

at time 494 process 21 is leaving CPU

at time 494 process 39 is entering CPU

at time 499 process 39 is leaving CPU

at time 499 process 40 is entering CPU

at time 501 process 41 is arriving at CPU queue

at time 507 process 42 is arriving at CPU queue

at time 509 process 40 is leaving CPU

at time 509 process 40 is leaving simulation

at time 509 process 20 is entering CPU

at time 516 process 43 is arriving at CPU queue

at time 521 process 20 is leaving CPU

at time 521 process 6 is entering CPU

at time 524 process 6 is leaving CPU

at time 524 process 41 is entering CPU

at time 524 process 13 is leaving DISK1

at time 524 process 22 is entering DISK1

at time 526 process 24 is leaving DISK2

at time 526 process 8 is entering DISK2

at time 527 process 44 is arriving at CPU queue

at time 533 process 41 is leaving CPU

at time 533 process 42 is entering CPU

at time 535 process 45 is arriving at CPU queue

at time 536 process 42 is leaving CPU

at time 536 process 43 is entering CPU

at time 541 process 43 is leaving CPU

at time 541 process 43 is leaving simulation

at time 541 process 13 is entering CPU

at time 549 process 13 is leaving CPU

at time 549 process 24 is entering CPU

at time 551 process 24 is leaving CPU

at time 551 process 24 is leaving simulation

at time 551 process 44 is entering CPU

at time 553 process 46 is arriving at CPU queue

at time 556 process 8 is leaving DISK2

at time 556 process 27 is entering DISK2

at time 559 process 44 is leaving CPU

at time 559 process 45 is entering CPU

at time 561 process 45 is leaving CPU

at time 561 process 45 is leaving simulation

at time 561 process 46 is entering CPU

at time 561 process 47 is arriving at CPU queue

at time 566 process 22 is leaving DISK1

at time 566 process 23 is entering DISK1

at time 571 process 48 is arriving at CPU queue

at time 572 process 46 is leaving CPU

at time 572 process 8 is entering CPU

at time 581 process 49 is arriving at CPU queue

at time 584 process 8 is leaving CPU

at time 584 process 8 is leaving simulation

at time 584 process 47 is entering CPU

at time 585 process 27 is leaving DISK2

at time 585 process 29 is entering DISK2

at time 593 process 47 is leaving CPU

at time 593 process 22 is entering CPU

at time 595 process 50 is arriving at CPU queue

at time 596 process 22 is leaving CPU

at time 596 process 48 is entering CPU

at time 604 process 48 is leaving CPU

at time 604 process 48 is leaving simulation

at time 604 process 49 is entering CPU

at time 605 process 23 is leaving DISK1

at time 605 process 25 is entering DISK1

at time 606 process 51 is arriving at CPU queue

at time 609 process 49 is leaving CPU

at time 609 process 49 is leaving simulation

at time 609 process 27 is entering CPU

at time 610 process 29 is leaving DISK2

at time 610 process 16 is entering DISK2

at time 614 process 52 is arriving at CPU queue

at time 619 process 53 is arriving at CPU queue

at time 619 process 27 is leaving CPU

at time 619 process 50 is entering CPU

at time 623 process 50 is leaving CPU

at time 623 process 23 is entering CPU

at time 625 process 54 is arriving at CPU queue

at time 635 process 23 is leaving CPU

at time 635 process 51 is entering CPU

at time 637 process 51 is leaving CPU

at time 637 process 29 is entering CPU

at time 638 process 55 is arriving at CPU queue

at time 641 process 25 is leaving DISK1

at time 641 process 28 is entering DISK1

at time 643 process 16 is leaving DISK2

at time 643 process 31 is entering DISK2

at time 646 process 29 is leaving CPU

at time 646 process 52 is entering CPU

at time 655 process 52 is leaving CPU

at time 655 process 53 is entering CPU

at time 657 process 56 is arriving at CPU queue

at time 658 process 53 is leaving CPU

at time 658 process 53 is leaving simulation

at time 658 process 54 is entering CPU

at time 662 process 57 is arriving at CPU queue

at time 663 process 54 is leaving CPU

at time 663 process 55 is entering CPU

at time 668 process 31 is leaving DISK2

at time 668 process 33 is entering DISK2

at time 672 process 55 is leaving CPU

at time 672 process 55 is leaving simulation

at time 672 process 25 is entering CPU

at time 673 process 58 is arriving at CPU queue

at time 679 process 25 is leaving CPU

at time 679 process 16 is entering CPU

at time 681 process 16 is leaving CPU

at time 681 process 56 is entering CPU

at time 683 process 59 is arriving at CPU queue

at time 684 process 28 is leaving DISK1

at time 684 process 30 is entering DISK1

at time 689 process 60 is arriving at CPU queue

at time 693 process 56 is leaving CPU

at time 693 process 57 is entering CPU

at time 694 process 33 is leaving DISK2

at time 694 process 17 is entering DISK2

at time 698 process 57 is leaving CPU

at time 698 process 31 is entering CPU

at time 703 process 61 is arriving at CPU queue

at time 704 process 31 is leaving CPU

at time 704 process 58 is entering CPU

at time 707 process 58 is leaving CPU

at time 707 process 58 is leaving simulation

at time 707 process 59 is entering CPU

at time 713 process 30 is leaving DISK1

at time 713 process 1 is entering DISK1

at time 719 process 59 is leaving CPU

at time 719 process 28 is entering CPU

at time 723 process 62 is arriving at CPU queue

at time 729 process 17 is leaving DISK2

at time 729 process 36 is entering DISK2

at time 730 process 28 is leaving CPU

at time 730 process 60 is entering CPU

at time 739 process 60 is leaving CPU

at time 739 process 60 is leaving simulation

at time 739 process 33 is entering CPU

at time 741 process 63 is arriving at CPU queue

at time 748 process 33 is leaving CPU

at time 748 process 33 is leaving simulation

at time 748 process 61 is entering CPU

at time 749 process 64 is arriving at CPU queue

at time 752 process 1 is leaving DISK1

at time 752 process 32 is entering DISK1

at time 755 process 61 is leaving CPU

at time 755 process 61 is leaving simulation

at time 755 process 30 is entering CPU

at time 763 process 30 is leaving CPU

at time 763 process 30 is leaving simulation

at time 763 process 62 is entering CPU

at time 765 process 65 is arriving at CPU queue

at time 766 process 36 is leaving DISK2

at time 766 process 12 is entering DISK2

at time 770 process 62 is leaving CPU

at time 770 process 62 is leaving simulation

at time 770 process 17 is entering CPU

at time 778 process 17 is leaving CPU

at time 778 process 17 is leaving simulation

at time 778 process 63 is entering CPU

at time 782 process 66 is arriving at CPU queue

at time 784 process 63 is leaving CPU

at time 784 process 63 is leaving simulation

at time 784 process 64 is entering CPU

at time 790 process 12 is leaving DISK2

at time 790 process 21 is entering DISK2

at time 794 process 64 is leaving CPU

at time 794 process 1 is entering CPU

at time 799 process 67 is arriving at CPU queue

at time 802 process 32 is leaving DISK1

at time 802 process 19 is entering DISK1

at time 803 process 1 is leaving CPU

at time 803 process 65 is entering CPU

at time 808 process 68 is arriving at CPU queue

at time 809 process 65 is leaving CPU

at time 809 process 36 is entering CPU

at time 815 process 36 is leaving CPU

at time 815 process 66 is entering CPU

at time 818 process 66 is leaving CPU

at time 818 process 12 is entering CPU

at time 818 process 69 is arriving at CPU queue

at time 828 process 70 is arriving at CPU queue

at time 828 process 12 is leaving CPU

at time 828 process 12 is leaving simulation

at time 828 process 67 is entering CPU

at time 829 process 21 is leaving DISK2

at time 829 process 39 is entering DISK2

at time 835 process 67 is leaving CPU

at time 835 process 32 is entering CPU

at time 841 process 32 is leaving CPU

at time 841 process 32 is leaving simulation

at time 841 process 68 is entering CPU

at time 841 process 19 is leaving DISK1

at time 841 process 2 is entering DISK1

at time 843 process 71 is arriving at CPU queue

at time 850 process 72 is arriving at CPU queue

at time 852 process 68 is leaving CPU

at time 852 process 69 is entering CPU

at time 857 process 69 is leaving CPU

at time 857 process 70 is entering CPU

at time 860 process 73 is arriving at CPU queue

at time 867 process 70 is leaving CPU

at time 867 process 21 is entering CPU

at time 868 process 39 is leaving DISK2

at time 868 process 6 is entering DISK2

at time 876 process 21 is leaving CPU

at time 876 process 19 is entering CPU

at time 878 process 74 is arriving at CPU queue

at time 879 process 19 is leaving CPU

at time 879 process 71 is entering CPU

at time 879 process 2 is leaving DISK1

at time 879 process 37 is entering DISK1

at time 881 process 71 is leaving CPU

at time 881 process 72 is entering CPU

at time 888 process 72 is leaving CPU

at time 888 process 73 is entering CPU

at time 890 process 75 is arriving at CPU queue

at time 894 process 73 is leaving CPU

at time 894 process 73 is leaving simulation

at time 894 process 39 is entering CPU

at time 900 process 6 is leaving DISK2

at time 900 process 42 is entering DISK2

at time 904 process 39 is leaving CPU

at time 904 process 74 is entering CPU

at time 909 process 76 is arriving at CPU queue

at time 913 process 74 is leaving CPU

at time 913 process 2 is entering CPU

at time 914 process 77 is arriving at CPU queue

at time 916 process 2 is leaving CPU

at time 916 process 75 is entering CPU

at time 922 process 78 is arriving at CPU queue

at time 925 process 37 is leaving DISK1

at time 925 process 38 is entering DISK1

at time 927 process 75 is leaving CPU

at time 927 process 6 is entering CPU

at time 929 process 6 is leaving CPU

at time 929 process 76 is entering CPU

at time 934 process 42 is leaving DISK2

at time 934 process 44 is entering DISK2

at time 935 process 79 is arriving at CPU queue

at time 939 process 76 is leaving CPU

at time 939 process 76 is leaving simulation

at time 939 process 77 is entering CPU

at time 942 process 80 is arriving at CPU queue

at time 949 process 77 is leaving CPU

at time 949 process 77 is leaving simulation

at time 949 process 78 is entering CPU

at time 954 process 44 is leaving DISK2

at time 954 process 47 is entering DISK2

at time 958 process 78 is leaving CPU

at time 958 process 37 is entering CPU

at time 959 process 81 is arriving at CPU queue

at time 966 process 38 is leaving DISK1

at time 966 process 20 is entering DISK1

at time 968 process 37 is leaving CPU

at time 968 process 37 is leaving simulation

at time 968 process 42 is entering CPU

at time 974 process 82 is arriving at CPU queue

at time 976 process 42 is leaving CPU

at time 976 process 79 is entering CPU

at time 984 process 79 is leaving CPU

at time 984 process 80 is entering CPU

at time 988 process 80 is leaving CPU

at time 988 process 44 is entering CPU

at time 990 process 83 is arriving at CPU queue

at time 993 process 47 is leaving DISK2

at time 993 process 22 is entering DISK2

at time 995 process 20 is leaving DISK1

at time 995 process 41 is entering DISK1

at time 997 process 44 is leaving CPU

at time 997 process 81 is entering CPU

at time 1006 process 84 is arriving at CPU queue

at time 1009 process 81 is leaving CPU

at time 1009 process 38 is entering CPU

at time 1014 process 22 is leaving DISK2

at time 1014 process 50 is entering DISK2

at time 1019 process 38 is leaving CPU

at time 1019 process 82 is entering CPU

at time 1020 process 85 is arriving at CPU queue

at time 1031 process 82 is leaving CPU

at time 1031 process 83 is entering CPU

at time 1036 process 86 is arriving at CPU queue

at time 1038 process 83 is leaving CPU

at time 1038 process 47 is entering CPU

at time 1040 process 50 is leaving DISK2

at time 1040 process 51 is entering DISK2

at time 1041 process 41 is leaving DISK1

at time 1041 process 13 is entering DISK1

at time 1049 process 87 is arriving at CPU queue

at time 1050 process 47 is leaving CPU

at time 1050 process 20 is entering CPU

at time 1056 process 88 is arriving at CPU queue

at time 1061 process 20 is leaving CPU

at time 1061 process 20 is leaving simulation

at time 1061 process 84 is entering CPU

at time 1067 process 89 is arriving at CPU queue

at time 1072 process 84 is leaving CPU

at time 1072 process 22 is entering CPU

at time 1074 process 22 is leaving CPU

at time 1074 process 85 is entering CPU

at time 1074 process 90 is arriving at CPU queue

at time 1077 process 85 is leaving CPU

at time 1077 process 86 is entering CPU

at time 1077 process 51 is leaving DISK2

at time 1077 process 52 is entering DISK2

at time 1079 process 13 is leaving DISK1

at time 1079 process 46 is entering DISK1

at time 1084 process 86 is leaving CPU

at time 1084 process 50 is entering CPU

at time 1088 process 50 is leaving CPU

at time 1088 process 41 is entering CPU

at time 1094 process 91 is arriving at CPU queue

at time 1100 process 41 is leaving CPU

at time 1100 process 87 is entering CPU

at time 1102 process 52 is leaving DISK2

at time 1102 process 25 is entering DISK2

at time 1103 process 92 is arriving at CPU queue

at time 1105 process 46 is leaving DISK1

at time 1105 process 27 is entering DISK1

at time 1111 process 87 is leaving CPU

at time 1111 process 88 is entering CPU

at time 1112 process 93 is arriving at CPU queue

at time 1114 process 88 is leaving CPU

at time 1114 process 89 is entering CPU

at time 1117 process 94 is arriving at CPU queue

at time 1122 process 89 is leaving CPU

at time 1122 process 90 is entering CPU

at time 1124 process 95 is arriving at CPU queue

at time 1129 process 90 is leaving CPU

at time 1129 process 90 is leaving simulation

at time 1129 process 51 is entering CPU

at time 1134 process 51 is leaving CPU

at time 1134 process 13 is entering CPU

at time 1137 process 96 is arriving at CPU queue

at time 1138 process 13 is leaving CPU

at time 1138 process 91 is entering CPU

at time 1141 process 25 is leaving DISK2

at time 1141 process 16 is entering DISK2

at time 1143 process 91 is leaving CPU

at time 1143 process 91 is leaving simulation

at time 1143 process 52 is entering CPU

at time 1152 process 97 is arriving at CPU queue

at time 1152 process 27 is leaving DISK1

at time 1152 process 23 is entering DISK1

at time 1153 process 52 is leaving CPU

at time 1153 process 52 is leaving simulation

at time 1153 process 92 is entering CPU

at time 1165 process 92 is leaving CPU

at time 1165 process 46 is entering CPU

at time 1168 process 98 is arriving at CPU queue

at time 1174 process 16 is leaving DISK2

at time 1174 process 57 is entering DISK2

at time 1176 process 46 is leaving CPU

at time 1176 process 46 is leaving simulation

at time 1176 process 93 is entering CPU

at time 1182 process 99 is arriving at CPU queue

at time 1188 process 93 is leaving CPU

at time 1188 process 94 is entering CPU

at time 1193 process 100 is arriving at CPU queue

at time 1200 process 101 is arriving at CPU queue

at time 1200 process 94 is leaving CPU

at time 1200 process 95 is entering CPU

at time 1201 process 23 is leaving DISK1

at time 1201 process 29 is entering DISK1

at time 1206 process 95 is leaving CPU

at time 1206 process 96 is entering CPU

at time 1207 process 102 is arriving at CPU queue

at time 1210 process 57 is leaving DISK2

at time 1210 process 28 is entering DISK2

at time 1215 process 96 is leaving CPU

at time 1215 process 25 is entering CPU

at time 1220 process 25 is leaving CPU

at time 1220 process 97 is entering CPU

at time 1225 process 103 is arriving at CPU queue

at time 1227 process 29 is leaving DISK1

at time 1227 process 54 is entering DISK1

at time 1230 process 97 is leaving CPU

at time 1230 process 27 is entering CPU

at time 1232 process 27 is leaving CPU

at time 1232 process 98 is entering CPU

at time 1243 process 28 is leaving DISK2

at time 1243 process 64 is entering DISK2

at time 1244 process 98 is leaving CPU

at time 1244 process 16 is entering CPU

at time 1245 process 104 is arriving at CPU queue

at time 1251 process 105 is arriving at CPU queue

at time 1253 process 54 is leaving DISK1

at time 1253 process 56 is entering DISK1

at time 1256 process 16 is leaving CPU

at time 1256 process 99 is entering CPU

at time 1267 process 99 is leaving CPU

at time 1267 process 100 is entering CPU

at time 1269 process 106 is arriving at CPU queue

at time 1274 process 107 is arriving at CPU queue

at time 1274 process 100 is leaving CPU

at time 1274 process 101 is entering CPU

at time 1277 process 64 is leaving DISK2

at time 1277 process 65 is entering DISK2

at time 1280 process 56 is leaving DISK1

at time 1280 process 31 is entering DISK1

at time 1283 process 101 is leaving CPU

at time 1283 process 101 is leaving simulation

at time 1283 process 23 is entering CPU

at time 1285 process 23 is leaving CPU

at time 1285 process 102 is entering CPU

at time 1291 process 108 is arriving at CPU queue

at time 1292 process 102 is leaving CPU

at time 1292 process 57 is entering CPU

at time 1298 process 65 is leaving DISK2

at time 1298 process 66 is entering DISK2

at time 1300 process 57 is leaving CPU

at time 1300 process 103 is entering CPU

at time 1303 process 103 is leaving CPU

at time 1303 process 103 is leaving simulation

at time 1303 process 29 is entering CPU

at time 1303 process 109 is arriving at CPU queue

at time 1312 process 29 is leaving CPU

at time 1312 process 28 is entering CPU

at time 1317 process 110 is arriving at CPU queue

at time 1319 process 31 is leaving DISK1

at time 1319 process 59 is entering DISK1

at time 1321 process 28 is leaving CPU

at time 1321 process 28 is leaving simulation

at time 1321 process 104 is entering CPU

at time 1325 process 66 is leaving DISK2

at time 1325 process 67 is entering DISK2

at time 1329 process 104 is leaving CPU

at time 1329 process 104 is leaving simulation

at time 1329 process 105 is entering CPU

at time 1332 process 111 is arriving at CPU queue

at time 1336 process 105 is leaving CPU

at time 1336 process 54 is entering CPU

at time 1338 process 54 is leaving CPU

at time 1338 process 54 is leaving simulation

at time 1338 process 106 is entering CPU

at time 1345 process 106 is leaving CPU

at time 1345 process 107 is entering CPU

at time 1347 process 112 is arriving at CPU queue

at time 1348 process 107 is leaving CPU

at time 1348 process 64 is entering CPU

at time 1356 process 64 is leaving CPU

at time 1356 process 64 is leaving simulation

at time 1356 process 56 is entering CPU

at time 1359 process 67 is leaving DISK2

at time 1359 process 70 is entering DISK2

at time 1360 process 113 is arriving at CPU queue

at time 1362 process 56 is leaving CPU

at time 1362 process 108 is entering CPU

at time 1365 process 59 is leaving DISK1

at time 1365 process 1 is entering DISK1

at time 1370 process 108 is leaving CPU

at time 1370 process 65 is entering CPU

at time 1378 process 65 is leaving CPU

at time 1378 process 109 is entering CPU

at time 1380 process 114 is arriving at CPU queue

at time 1382 process 109 is leaving CPU

at time 1382 process 110 is entering CPU

at time 1391 process 110 is leaving CPU

at time 1391 process 31 is entering CPU

at time 1394 process 31 is leaving CPU

at time 1394 process 31 is leaving simulation

at time 1394 process 66 is entering CPU

at time 1397 process 115 is arriving at CPU queue

at time 1397 process 70 is leaving DISK2

at time 1397 process 21 is entering DISK2

at time 1402 process 116 is arriving at CPU queue

at time 1402 process 66 is leaving CPU

at time 1402 process 111 is entering CPU

at time 1408 process 1 is leaving DISK1

at time 1408 process 36 is entering DISK1

at time 1412 process 111 is leaving CPU

at time 1412 process 112 is entering CPU

at time 1416 process 112 is leaving CPU

at time 1416 process 67 is entering CPU

at time 1421 process 117 is arriving at CPU queue

at time 1421 process 21 is leaving DISK2

at time 1421 process 72 is entering DISK2

at time 1426 process 67 is leaving CPU

at time 1426 process 113 is entering CPU

at time 1436 process 113 is leaving CPU

at time 1436 process 59 is entering CPU

at time 1436 process 118 is arriving at CPU queue

at time 1439 process 59 is leaving CPU

at time 1439 process 114 is entering CPU

at time 1442 process 119 is arriving at CPU queue

at time 1447 process 114 is leaving CPU

at time 1447 process 115 is entering CPU

at time 1450 process 115 is leaving CPU

at time 1450 process 70 is entering CPU

at time 1453 process 36 is leaving DISK1

at time 1453 process 68 is entering DISK1

at time 1454 process 70 is leaving CPU

at time 1454 process 70 is leaving simulation

at time 1454 process 116 is entering CPU

at time 1456 process 120 is arriving at CPU queue

at time 1459 process 72 is leaving DISK2

at time 1459 process 39 is entering DISK2

at time 1463 process 116 is leaving CPU

at time 1463 process 116 is leaving simulation

at time 1463 process 1 is entering CPU

at time 1470 process 121 is arriving at CPU queue

at time 1474 process 1 is leaving CPU

at time 1474 process 117 is entering CPU

at time 1480 process 122 is arriving at CPU queue

at time 1481 process 117 is leaving CPU

at time 1481 process 21 is entering CPU

at time 1485 process 21 is leaving CPU

at time 1485 process 118 is entering CPU

at time 1492 process 39 is leaving DISK2

